loc_rowid,pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,sy_dist
4305,Kepler-982 b,Kepler-982,1,1,15.77382210,0.129100,2.250,5.69000,2.740000,0.000000,185.20,955,,6139.00,1.29,1.16,0.050,[Fe/H],801.4790000
4306,Kepler-983 b,Kepler-983,1,1,60.08550820,0.314800,2.360,6.17000,2.580000,0.000000,31.00,485,,6052.00,1.08,1.13,0.120,[Fe/H],714.4370000
4307,Kepler-984 b,Kepler-984,1,1,43.03422720,0.232700,2.120,5.14000,2.960000,0.000000,13.99,484,,5610.00,0.93,0.96,0.040,[Fe/H],460.1880000
4308,Kepler-985 b,Kepler-985,1,1,116.33190100,0.445100,2.980,9.17000,1.900000,0.000000,2.59,323,,5434.00,0.85,0.91,0.000,[Fe/H],679.3610000
4309,Kepler-986 b,Kepler-986,1,1,56.43499380,0.276000,2.360,6.17000,2.580000,0.000000,10.86,465,,5642.00,0.98,0.96,0.040,[Fe/H],548.3640000
4310,Kepler-987 b,Kepler-987,1,1,105.30331480,0.423800,3.260,10.70000,1.700000,0.000000,3.85,351,,5637.00,0.91,0.97,0.010,[Fe/H],914.1260000
4311,Kepler-988 b,Kepler-988,1,1,17.76080053,0.108500,2.070,4.94000,3.060000,0.000000,6.56,368,,4005.00,0.53,0.55,-0.320,[Fe/H],304.8890000
4312,Kepler-989 b,Kepler-989,1,1,7.96431535,0.073400,2.210,5.52000,2.810000,0.000000,74.35,805,,5074.00,0.78,0.82,0.010,[Fe/H],491.9780000
4313,Kepler-99 b,Kepler-99,2,1,4.60358000,0.050300,1.480,6.15000,10.900000,0.000000,108.04,810,,4782.00,0.73,0.79,0.180,[Fe/H],208.3690000
4314,Kepler-990 b,Kepler-990,1,2,9.91723428,0.088300,2.600,7.27000,2.270000,0.000000,157.41,903,,5948.00,1.08,1.05,0.010,[Fe/H],802.1630000
4315,Kepler-990 c,Kepler-990,1,2,0.53835431,0.012700,1.530,2.96000,4.540000,0.000000,7609.22,2386,,5948.00,1.08,1.05,0.010,[Fe/H],802.1630000
4316,Kepler-991 b,Kepler-991,1,1,82.53425190,0.310400,2.540,6.99000,2.340000,0.000000,1.37,260,,4392.00,0.61,0.64,-0.250,[Fe/H],389.5610000
4317,Kepler-992 b,Kepler-992,1,1,20.16034462,0.133900,1.620,3.26000,4.210000,0.000000,15.29,510,,4944.00,0.74,0.80,-0.040,[Fe/H],259.6390000
4318,Kepler-993 b,Kepler-993,1,1,22.08557563,0.130000,2.970,9.11000,1.910000,0.000000,3.95,352,,3843.00,0.54,0.57,0.030,[Fe/H],324.4230000
4319,Kepler-994 b,Kepler-994,1,1,1.15116651,0.017700,1.600,3.19000,4.280000,0.000000,243.98,957,,3934.00,0.54,0.56,-0.130,[Fe/H],188.1580000
4320,Kepler-995 b,Kepler-995,1,1,28.26731672,0.170100,2.700,7.75000,2.160000,0.000000,11.92,517,,5206.00,0.80,0.83,-0.070,[Fe/H],609.6380000
4321,Kepler-996 b,Kepler-996,1,1,3.77059058,0.047400,1.980,4.58000,3.240000,0.000000,723.08,1272,,6014.00,1.14,1.09,0.030,[Fe/H],1216.5800000
4322,Kepler-997 b,Kepler-997,1,1,2.70730672,0.039700,1.360,2.42000,5.290000,0.000000,1900.13,1709,,6150.00,1.56,1.22,0.050,[Fe/H],467.5680000
4323,Kepler-998 b,Kepler-998,1,1,5.65377733,0.062600,2.320,5.99000,2.640000,0.000000,409.92,1020,,6058.00,1.18,1.12,0.070,[Fe/H],986.3640000
4324,Kepler-999 b,Kepler-999,1,1,5.99185702,0.068100,2.340,6.08000,2.610000,0.000000,740.17,1355,,6237.00,1.65,1.29,0.050,[Fe/H],545.0630000
4325,L 168-9 b,L 168-9,1,1,1.40150000,0.020910,1.390,4.60000,9.600000,0.210000,149.37,965,M1 V,3800.00,0.60,0.62,0.040,[Fe/H],25.1496000
4326,L 98-59 b,L 98-59,1,4,2.25311360,0.021910,0.850,0.40000,3.600000,0.103000,24.70,627,M3 V,3415.00,0.30,0.27,-0.460,[Fe/H],10.6194000
4327,L 98-59 c,L 98-59,1,4,3.69067770,0.030400,1.385,2.22000,4.570000,0.103000,12.80,553,M3 V,3415.00,0.30,0.27,-0.460,[Fe/H],10.6194000
4328,L 98-59 d,L 98-59,1,4,7.45072450,0.048600,1.521,1.94000,2.950000,0.074000,5.01,416,M3 V,3415.00,0.30,0.27,-0.460,[Fe/H],10.6194000
4329,L 98-59 e,L 98-59,1,4,12.79600000,0.071700,1.560,3.06000,4.430000,0.128000,,342,M3 V,3415.00,0.30,0.27,-0.460,[Fe/H],10.6194000
4330,LHS 1140 b,LHS 1140,1,2,24.73694000,0.095700,1.635,6.38000,8.040000,0.096000,0.50,379,M4.5 V,3216.00,0.21,0.19,-0.240,[Fe/H],14.9861000
4331,LHS 1140 c,LHS 1140,1,2,3.77792000,0.027340,1.169,1.76000,6.070000,0.274000,6.16,709,M4.5 V,3216.00,0.21,0.19,-0.240,[Fe/H],14.9861000
4332,LHS 1478 b,LHS 1478,1,1,1.94953780,0.018480,1.242,2.33000,6.670000,,23.37,595,m3 V,3381.00,0.25,0.24,-0.130,[Fe/H],18.2276000
4333,LHS 1678 b,LHS 1678,1,2,0.86023220,0.012510,0.696,0.35000,6.000000,0.250000,93.20,830,M2.0 V,3490.00,0.33,0.34,,,19.8782000
4334,LHS 1678 c,LHS 1678,1,2,3.69424700,0.033100,0.982,1.40000,10.600000,0.220000,13.50,511,M2.0 V,3490.00,0.33,0.34,,,19.8782000
4335,LHS 1815 b,LHS 1815,1,1,3.81433000,0.040400,1.088,8.70000,,0.000000,17.80,617,M1,3643.00,0.50,0.50,-0.120,[Fe/H],29.8424000
4336,LHS 3844 b,LHS 3844,1,1,0.46292913,0.006220,1.303,2.25000,5.590000,,70.10,805,M5,3036.00,0.19,0.15,,,14.8846000
4337,LP 714-47 b,LP 714-47,1,1,4.05203700,0.041700,4.700,30.80000,1.700000,0.040000,17.22,700,M0.0 V,3950.00,0.58,0.59,0.410,[Fe/H],52.6160000
