pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,st_teff,st_mass,st_met,sy_dist
Kepler-176 e,Kepler-176,1,4,51.16579000,0.249400,1.450,2.70000,4.870000,0.000000,5295.00,0.87,0.030,527.3210000
Kepler-1760 b,Kepler-1760,1,1,38.32609940,0.208400,2.290,5.86000,2.680000,0.000000,5229.00,0.82,0.080,
Kepler-1761 b,Kepler-1761,1,1,4.04354000,0.041300,1.391,2.51000,5.120000,0.000000,3871.00,0.57,0.070,221.1860000
Kepler-1762 b,Kepler-1762,1,1,29.53910065,0.204000,2.760,8.05000,2.100000,0.000000,6572.00,1.30,0.070,1663.7400000
Kepler-1763 b,Kepler-1763,1,1,1.48028004,0.025700,1.147,1.59000,5.800000,0.000000,5897.00,1.03,0.020,756.4860000
Kepler-1764 b,Kepler-1764,1,1,70.46829987,0.351200,4.555,18.80000,1.090000,0.000000,6461.00,1.16,-0.140,1542.4800000
Kepler-1765 b,Kepler-1765,1,1,10.41889954,0.091700,2.495,6.78000,2.400000,0.000000,5692.00,0.95,0.040,764.4560000
Kepler-1766 b,Kepler-1766,1,1,105.01499940,0.422900,2.279,5.81000,2.700000,0.000000,5868.00,0.92,-0.220,501.2290000
Kepler-1767 b,Kepler-1767,1,1,59.65829849,0.287300,3.013,9.34000,1.880000,0.000000,5243.00,0.89,0.140,820.5060000
Kepler-1768 b,Kepler-1768,1,1,15.13589954,0.128600,2.233,5.62000,2.770000,0.000000,6050.00,1.24,0.140,632.7660000
Kepler-1769 b,Kepler-1769,1,1,89.19349670,0.398700,4.465,18.20000,1.120000,0.000000,6071.00,1.06,-0.060,438.4120000
Kepler-177 b,Kepler-177,1,2,36.86010000,0.218400,3.500,5.84000,0.750000,0.000000,5732.00,0.92,-0.110,1435.4400000
Kepler-177 c,Kepler-177,1,2,49.40926000,0.265500,8.730,14.70000,0.121000,0.000000,5732.00,0.92,-0.110,1435.4400000
Kepler-1770 b,Kepler-1770,1,1,16.84189987,0.126100,2.841,8.45000,2.020000,0.000000,5602.00,0.94,0.100,582.9420000
Kepler-1771 b,Kepler-1771,1,1,88.64399719,0.381500,4.055,15.50000,1.280000,0.000000,5661.00,0.94,0.000,565.7520000
Kepler-1772 b,Kepler-1772,1,1,3.21509004,0.041800,2.686,7.68000,2.180000,0.000000,5541.00,0.94,0.120,871.5640000
Kepler-1773 b,Kepler-1773,1,1,40.80970001,0.248900,3.505,12.10000,1.540000,0.000000,6183.00,1.24,0.260,681.2550000
Kepler-1774 b,Kepler-1774,1,1,59.77080154,0.309600,3.182,10.20000,1.740000,0.000000,6214.00,1.10,-0.020,816.5920000
Kepler-1775 b,Kepler-1775,1,1,85.65399933,0.398600,3.648,12.90000,1.460000,0.000000,5818.00,1.15,0.240,657.0230000
Kepler-1776 b,Kepler-1776,1,1,35.01190186,0.212400,2.612,7.33000,2.260000,0.000000,5872.00,1.04,0.100,690.3360000
Kepler-1777 b,Kepler-1777,1,1,12.18420029,0.103100,2.132,5.19000,2.940000,0.000000,5771.00,0.98,0.060,619.1460000
Kepler-1778 b,Kepler-1778,1,1,10.08740044,0.095600,3.017,9.36000,1.870000,0.000000,6310.00,1.14,-0.060,1276.2900000
Kepler-1779 b,Kepler-1779,1,1,16.34359932,0.126400,3.033,9.44000,1.860000,0.000000,5730.00,1.01,0.160,908.5010000
Kepler-178 b,Kepler-178,1,3,9.57669400,0.085000,2.900,8.75000,1.970000,0.000000,5676.00,0.94,0.180,716.0250000
Kepler-178 c,Kepler-178,1,3,20.55280200,0.142000,2.880,8.65000,1.990000,0.000000,5676.00,0.94,0.180,716.0250000
Kepler-178 d,Kepler-178,1,3,96.67898800,0.397000,3.950,14.80000,1.320000,0.000000,5676.00,0.94,0.180,716.0250000
