pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,st_teff,st_mass,st_met,sy_dist,exo_class,exo_class_ext
11 Com b,11 Com,2,1,326.03,1.29,12.1,6165.6,19.1,0.231,4742.0,2.7,-0.35,93.1846,Gas giant,Gas giant
11 UMi b,11 UMi,1,1,516.21997,1.53,12.3,4684.8142,13.8,0.08,4213.0,2.78,-0.02,125.321,Gas giant,Gas giant
14 And b,14 And,1,1,185.84,0.83,12.9,1525.5,3.9,0.0,4813.0,2.2,-0.24,75.4392,Gas giant,Gas giant
14 Her b,14 Her,1,2,1773.40002,2.93,12.9,1481.0878,3.79,0.37,5338.0,0.9,0.41,17.9323,Gas giant,Gas giant
16 Cyg B b,16 Cyg B,3,1,798.5,1.66,13.5,565.7374,1.26,0.68,5750.0,1.08,0.06,21.1397,Gas giant,Gas giant
17 Sco b,17 Sco,1,1,578.38,1.45,12.9,1373.01872,3.51,0.06,4157.0,1.22,-0.01,124.953,Gas giant,Gas giant
18 Del b,18 Del,2,1,993.3,2.6,12.5,3273.5,9.21,0.08,4979.0,2.3,-0.052,76.222,Gas giant,Gas giant
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,330.0,18.647,3000.0,2.54,,4060.0,0.85,,139.135,Gas giant,Gas giant
24 Boo b,24 Boo,1,1,30.3506,0.19,13.9,289.2253,0.592,0.042,4893.0,0.99,-0.77,95.9863,Gas giant,Gas giant
24 Sex b,24 Sex,1,2,452.8,1.333,13.4,632.46,1.44,0.09,5098.0,1.54,-0.03,72.0691,Gas giant,Gas giant
24 Sex c,24 Sex,1,2,883.0,2.08,13.9,273.32,0.559,0.29,5098.0,1.54,-0.03,72.0691,Gas giant,Gas giant
2M0437 b,2MASS J04372171+2651014,1,1,,118.0,13.0,1271.31363,3.18,,3100.0,0.17,0.01,128.484,Gas giant,Gas giant
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,,84.0,12.3,4131.79,12.2,,,0.19,,47.2,Gas giant,Gas giant
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,,52.0,11.209,7786.5,30.4,,3530.0,0.4,,33.8281,Gas giant,Gas giant
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,,156.0,16.141,4417.837,5.77,,3064.0,0.11,,40.0896412,Gas giant,Gas giant
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,,15.0,12.6,2383.6,6.55,,2936.0,0.02,,120.423987,Gas giant,Gas giant
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,55.0,12.9,1589.15,4.07,,2825.0,0.02,,64.308,Gas giant,Gas giant
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,416.0,0.92,13.4,603.877,1.38,,10868.0,0.48,-0.092,396.332,Gas giant,Gas giant
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,7336.5,,10.31,6657.48,33.4,0.26,2300.0,0.08,,33.1156898,Gas giant,Gas giant
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,,230.0,12.3,3972.875,11.7,,4045.0,0.6,,69.5737,Gas giant,Gas giant
30 Ari B b,30 Ari B,4,1,335.10001,0.99,12.3,4392.4106,13.0,0.29,6331.0,1.93,0.19,44.657,Gas giant,Gas giant
4 UMa b,4 UMa,1,1,269.3,0.87,12.7,2256.5,6.05,0.432,4415.0,1.23,-0.25,73.4603,Gas giant,Gas giant
42 Dra b,42 Dra,2,1,479.1,1.19,13.0,1233.13,3.08,0.38,4200.0,0.98,-0.46,90.6545,Gas giant,Gas giant
47 UMa b,47 UMa,1,3,1078.0,2.1,13.2,804.08,1.92,0.032,5872.0,1.06,0.04,13.7967,Gas giant,Gas giant
47 UMa c,47 UMa,1,3,2391.0,3.6,14.2,171.621,0.329,0.098,5872.0,1.06,0.04,13.7967,Gas giant,Gas giant
47 UMa d,47 UMa,1,3,14002.0,11.6,13.5,521.22,1.16,0.16,5872.0,1.06,0.04,13.7967,Gas giant,Gas giant
51 Eri b,51 Eri,3,1,11688.0,13.2,13.4,635.66,1.45,0.45,7295.0,1.75,-0.027,29.7575,Gas giant,Gas giant
51 Peg b,51 Peg,1,1,4.230785,0.0527,14.3,146.2018,0.275,0.013,5758.0,1.03,0.18,15.4614,Gas giant,Hot Jupiter
55 Cnc b,55 Cnc,2,5,14.6516,0.1134,13.9,263.9785,0.54,0.0,5172.0,0.91,0.35,12.5855,Gas giant,Gas giant
55 Cnc c,55 Cnc,2,5,44.3989,0.2373,8.51,54.4738,0.486,0.03,5172.0,0.91,0.35,12.5855,Neptune-like,Neptune-like
55 Cnc d,55 Cnc,2,5,5574.2,5.957,13.0,1232.493,3.08,0.13,5172.0,0.91,0.35,12.5855,Gas giant,Gas giant
55 Cnc e,55 Cnc,2,5,0.7365474,0.01544,1.875,7.99,6.66,0.05,5172.0,0.91,0.35,12.5855,Neptune-like,Hot Neptune
55 Cnc f,55 Cnc,2,5,259.88,0.7708,7.59,44.812,0.563,0.08,5172.0,0.91,0.35,12.5855,Neptune-like,Neptune-like
6 Lyn b,6 Lyn,1,1,934.3,2.11,13.4,638.8383,1.46,0.073,4938.0,1.44,-0.13,54.6599,Gas giant,Gas giant
61 Vir b,61 Vir,1,3,4.215,0.050201,2.11,5.1,2.98,0.12,5577.0,0.94,-0.01,8.50332,Super-Earth,Super-Earth
61 Vir c,61 Vir,1,3,38.021,0.2175,4.46,18.2,1.13,0.14,5577.0,0.94,-0.01,8.50332,Neptune-like,Neptune-like
61 Vir d,61 Vir,1,3,123.01,0.476,5.11,22.9,0.943,0.35,5577.0,0.94,-0.01,8.50332,Neptune-like,Neptune-like
7 CMa b,7 CMa,1,2,735.1,1.758,13.4,587.9855,1.34,0.06,4826.0,1.34,0.21,19.8101,Gas giant,Gas giant
7 CMa c,7 CMa,1,2,996.0,2.153,13.9,276.5121,0.566,0.08,4826.0,1.34,0.21,19.8101,Gas giant,Gas giant
70 Vir b,70 Vir,1,1,116.688,0.481,12.6,2380.45,6.54,0.3988,5495.0,1.09,-0.09,17.9011,Gas giant,Gas giant
75 Cet b,75 Cet,2,1,691.9,2.1,13.1,953.49,2.33,0.117,4846.0,2.49,0.0,82.9613,Gas giant,Gas giant
8 UMi b,8 UMi,1,1,93.4,0.49,13.6,416.3573,0.91,0.06,4847.0,1.44,-0.03,162.552,Gas giant,Gas giant
81 Cet b,81 Cet,1,1,952.7,2.5,12.8,1684.4,4.41,0.206,4785.0,2.4,-0.06,101.26,Gas giant,Gas giant
91 Aqr b,91 Aqr,3,1,181.4,0.7,13.1,1017.0,2.49,0.027,4665.0,1.4,-0.03,44.0304,Gas giant,Gas giant
AB Pic b,AB Pic,1,1,,260.0,12.3,4290.5,12.7,,5285.0,0.9,0.04,50.0475,Gas giant,Gas giant
AU Mic b,AU Mic,1,2,8.463,0.0645,4.07,17.0,1.4,0.0,3700.0,0.5,,9.7221,Neptune-like,Neptune-like
AU Mic c,AU Mic,1,2,18.859019,0.1101,3.24,13.6,2.3,0.0,3700.0,0.5,,9.7221,Neptune-like,Neptune-like
BD+03 2562 b,BD+03 2562,1,1,481.9,1.3,12.7,2034.112,5.46,0.2,4095.0,1.14,-0.71,1070.63,Gas giant,Gas giant
BD+14 4559 b,BD+14 4559,1,1,268.94,0.78,13.8,330.5432,0.691,0.29,4864.0,0.49,0.17,49.352,Gas giant,Gas giant
BD+15 2375 b,BD+15 2375,1,1,153.22,0.576,13.8,337.21763,0.705,0.001,4649.0,1.08,-0.22,768.045,Gas giant,Gas giant
BD+15 2940 b,BD+15 2940,1,1,137.48,0.539,13.7,352.78,0.754,0.26,4796.0,1.1,0.28,426.42,Gas giant,Gas giant
BD+20 2457 b,BD+20 2457,1,2,379.63,1.05,11.6,17668.1697,62.2,0.15,4259.0,10.83,-0.79,1539.71,Gas giant,Gas giant
BD+20 2457 c,BD+20 2457,1,2,621.99,2.01,12.4,3963.17,11.4,0.18,4137.0,2.8,-1.0,1539.71,Gas giant,Gas giant
BD+20 274 b,BD+20 274,1,1,578.2,1.3,13.0,1334.886,3.34,0.21,4296.0,0.8,-0.46,1322.51,Gas giant,Gas giant
BD+20 594 b,BD+20 594,1,1,41.6855,0.241,2.578,22.2481,7.89,0.0,5766.0,1.67,-0.15,179.461,Neptune-like,Neptune-like
BD+45 564 b,BD+45 564,1,1,307.88,0.83,13.6,432.24663,0.944,0.12,5004.0,0.81,-0.09,53.622,Gas giant,Gas giant
BD+48 738 b,BD+48 738,1,1,392.6,1.0,13.9,289.2253,0.592,0.2,4414.0,0.74,-0.2,871.493,Gas giant,Gas giant
BD+48 740 b,BD+48 740,1,1,733.0,1.7,13.5,540.311,1.21,0.76,4534.0,1.09,-0.13,666.589,Gas giant,Gas giant
BD+49 828 b,BD+49 828,1,1,2590.0,4.2,13.5,508.5,1.14,0.35,4943.0,1.52,-0.19,442.042,Gas giant,Gas giant
BD+55 362 b,BD+55 362,1,1,265.59,0.78,14.0,228.83645,0.458,0.27,5012.0,0.91,0.18,52.5697,Gas giant,Gas giant
BD+60 1417 b,BD+60 1417,1,1,,1662.0,14.684,4767.4261,8.27,,4993.0,1.0,,44.9543,Gas giant,Gas giant
BD+63 1405 b,BD+63 1405,1,1,1198.48,2.06,13.0,1258.60049,3.15,0.88,5000.0,0.82,-0.09,38.0473,Gas giant,Gas giant
BD-00 4475 b,BD-00 4475,1,1,723.2,1.48,12.0,7961.6016,25.3,0.39,5040.0,0.81,-0.14,42.6402,Gas giant,Gas giant
BD-06 1339 b,BD-06 1339,1,2,3.8728,0.0428,2.85,8.5,2.02,0.0,4324.0,0.7,-0.14,20.2695,Neptune-like,Hot Neptune
BD-06 1339 c,BD-06 1339,1,2,125.94,0.435,8.38,53.0,0.495,0.31,4324.0,0.7,-0.14,20.2695,Neptune-like,Neptune-like
BD-08 2823 b,BD-08 2823,1,2,5.6,0.06,3.61,12.7132,1.48,0.15,4816.0,0.5,-0.06,41.3342,Neptune-like,Neptune-like
BD-08 2823 c,BD-08 2823,1,2,237.6,0.68,12.5,104.0,0.293,0.19,4746.0,0.74,-0.07,41.3342,Gas giant,Gas giant
BD-10 3166 b,BD-10 3166,1,1,3.48777,0.04,14.1,187.5197,0.368,0.02,5393.0,1.47,0.38,84.4069,Gas giant,Hot Jupiter
BD-11 4672 b,BD-11 4672,1,2,1634.0,2.36,14.1,206.5895,0.405,0.05,4550.0,0.65,-0.35,27.1665,Gas giant,Gas giant
BD-11 4672 c,BD-11 4672,1,2,74.2,0.3,4.04,15.37,1.28,0.4,4550.0,0.65,-0.35,27.1665,Neptune-like,Neptune-like
BD-13 2130 b,BD-13 2130,1,1,714.29999,1.66,12.5,3108.3774,8.75,0.21,4545.0,2.12,-0.08,925.214,Gas giant,Gas giant
BD-17 63 b,BD-17 63,1,1,655.6,1.34,12.8,1620.9,4.25,0.54,4714.0,0.74,-0.03,34.4603,Gas giant,Gas giant
CD Cet b,CD Cet,1,1,2.2907,0.0185,1.82,3.95,3.6,,3130.0,0.16,0.13,8.60715,Super-Earth,Super-Earth
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,10037.5,2.6,12.4,3337.1,9.62,,580.5,0.02,,23.1,Gas giant,Gas giant
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,8040000.0,200.0,20.849,2479.06157,1.5,,2320.0,0.01,,,Gas giant,Gas giant
CHXR 73 b,CHXR 73,1,1,,210.0,12.3,3994.486,11.8,,3099.0,0.35,,190.374,Gas giant,Gas giant
CI Tau b,CI Tau,1,1,8.9891,,12.4,3686.828,10.6,0.25,3807.0,0.9,,157.998,Gas giant,Hot Jupiter
COCONUTS-2 b,COCONUTS-2 A,1,1,402000000.0,7506.0,12.442,2002.31896,5.71,,3406.0,0.37,0.0,10.8864,Gas giant,Gas giant
CT Cha b,CT Cha,1,1,,440.0,24.66,5403.0,1.98,,4403.0,,-0.56,190.72,Gas giant,Gas giant
CoRoT-1 b,CoRoT-1,1,1,1.5089557,0.02752,16.7,327.35,0.38,0.0,5950.0,0.95,-0.3,787.909,Gas giant,Hot Jupiter
CoRoT-10 b,CoRoT-10,1,1,13.2406,0.1055,10.87,874.0,3.7,0.53,5075.0,0.89,0.26,338.386,Gas giant,Gas giant
CoRoT-11 b,CoRoT-11,1,1,2.99433,0.0436,16.03,740.51,0.99,0.0,6440.0,1.27,-0.03,655.037,Gas giant,Hot Jupiter
CoRoT-12 b,CoRoT-12,1,1,2.828042,0.04016,16.14,291.438,0.411,0.07,5675.0,1.08,0.16,1126.37,Gas giant,Hot Jupiter
CoRoT-13 b,CoRoT-13,1,1,4.03519,0.051,9.92,415.704,2.34,0.0,5945.0,1.09,0.01,1148.93,Gas giant,Hot Jupiter
CoRoT-14 b,CoRoT-14,1,1,1.51214,0.027,12.22,2415.4,7.3,0.0,6035.0,1.13,0.05,1744.6,Gas giant,Hot Jupiter
CoRoT-16 b,CoRoT-16,1,1,5.35227,0.0618,13.11,170.032,0.44,0.33,5650.0,1.1,0.19,732.409,Gas giant,Hot Jupiter
CoRoT-17 b,CoRoT-17,1,1,3.7681,0.0461,11.43,772.29,2.82,0.0,5740.0,1.04,0.0,1176.12,Gas giant,Hot Jupiter
CoRoT-18 b,CoRoT-18,1,1,1.9000693,0.0295,14.68,1102.82,2.2,0.08,5440.0,0.95,-0.1,764.889,Gas giant,Hot Jupiter
CoRoT-19 b,CoRoT-19,1,1,3.89713,0.0518,14.46,352.78,0.71,0.047,6090.0,1.21,-0.02,790.663,Gas giant,Hot Jupiter
CoRoT-2 b,CoRoT-2,2,1,1.7429935,0.02798,16.432,1102.82,1.47,0.0143,5625.0,0.96,0.04,213.283,Gas giant,Hot Jupiter
CoRoT-20 b,CoRoT-20,1,2,9.24285,0.09,9.416,1366.669,8.87,0.59,5880.0,1.14,0.14,844.061,Gas giant,Hot Jupiter
CoRoT-20 c,CoRoT-20,1,2,1675.0,2.9,12.2,5403.11,16.4,0.6,4947.5,1.14,0.14,844.061,Gas giant,Gas giant
CoRoT-21 b,CoRoT-21,1,1,2.72474,0.0417,14.572,718.2958,1.36,0.0,6200.0,1.29,0.0,1398.8341969,Gas giant,Hot Jupiter
CoRoT-22 b,CoRoT-22,1,1,9.75598,0.092,4.88,12.2,0.249,0.077,5939.0,1.1,0.17,627.158,Neptune-like,Neptune-like
CoRoT-23 b,CoRoT-23,1,1,3.6313,0.048,11.77,889.9,3.0,0.16,5900.0,1.14,0.05,1060.97,Gas giant,Hot Jupiter
CoRoT-24 b,CoRoT-24,1,2,5.1134,0.056,3.7,5.7,0.9,0.0,4950.0,0.91,0.3,591.555,Super-Earth,Super-Earth
CoRoT-24 c,CoRoT-24,1,2,11.759,0.098,5.0,28.0,1.3,0.0,4950.0,0.91,0.3,591.555,Neptune-like,Neptune-like
CoRoT-25 b,CoRoT-25,1,1,4.86069,0.0578,12.11,85.81,0.15,0.0,6040.0,1.09,-0.01,1103.48,Gas giant,Hot Jupiter
CoRoT-26 b,CoRoT-26,1,1,4.20474,0.0526,14.12,165.26,0.28,0.0,5590.0,1.09,0.01,1045.18,Gas giant,Hot Jupiter
CoRoT-27 b,CoRoT-27,1,1,3.57532,0.0476,11.287,3302.11,12.6,0.065,5900.0,1.05,-0.1,1010.28,Gas giant,Hot Jupiter
CoRoT-28 b,CoRoT-28,1,1,5.20851,0.0603,10.705,153.82972,0.69,0.047,5150.0,1.01,0.15,766.183,Gas giant,Hot Jupiter
CoRoT-29 b,CoRoT-29,1,1,2.85057,0.0386,10.088,270.1555,1.45,0.082,5260.0,0.97,0.2,806.507,Gas giant,Hot Jupiter
CoRoT-3 b,CoRoT-3,1,1,4.2568,0.05783,11.32,6883.91,26.4,0.0,6740.0,1.37,0.14,768.771,Gas giant,Hot Jupiter
CoRoT-30 b,CoRoT-30,1,1,9.06005,0.0844,11.31,921.707,3.45,0.007,5650.0,0.98,0.02,1032.23,Gas giant,Hot Jupiter
CoRoT-31 b,CoRoT-31,1,1,4.62941,0.0586,16.365,266.9772,0.33,0.02,5700.0,1.25,0.0,2005.76,Gas giant,Hot Jupiter
CoRoT-4 b,CoRoT-4,1,1,9.20205,0.09,13.34,228.83,0.525,0.0,6190.0,1.16,0.05,726.412,Gas giant,Hot Jupiter
CoRoT-5 b,CoRoT-5,1,1,4.0378962,0.04947,15.558,148.42,0.217,0.09,6100.0,1.0,-0.25,882.472,Gas giant,Hot Jupiter
CoRoT-6 b,CoRoT-6,1,1,8.886593,0.0855,13.068,940.74,2.32,0.1,6090.0,1.05,-0.2,645.294,Gas giant,Hot Jupiter
CoRoT-7 b,CoRoT-7,1,2,0.85359163,0.017016,1.681,4.07661,6.61,0.0,5275.0,0.82,0.05,159.906,Super-Earth,Super-Earth
CoRoT-7 c,CoRoT-7,1,2,3.698,0.046,2.83,8.4,2.04,0.0,5256.0,0.9,0.06,159.906,Neptune-like,Hot Neptune
CoRoT-8 b,CoRoT-8,1,1,6.21229,0.063,6.39,69.92,1.6,0.0,5080.0,0.88,0.3,322.037,Gas giant,Hot Jupiter
CoRoT-9 b,CoRoT-9,2,1,95.272656,0.4021,11.949,266.9772,0.86,0.133,5625.0,0.96,-0.01,412.98,Gas giant,Gas giant
CoRoTID 223977153 b,CoRoTID 223977153,1,1,6.71837,0.071,6.389,47.6745,1.1,,5970.0,1.08,0.0,576.683,Neptune-like,Neptune-like
DE CVn b,DE CVn,2,1,4098.1,5.75,12.4,3823.2733,11.0,0.0,3579.0,0.51,,30.5225,Gas giant,Gas giant
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,246.36,0.36,11.9,9057.77,29.5,0.345,,0.07,,20.77,Gas giant,Gas giant
DH Tau b,DH Tau,1,1,,330.0,30.264,3496.0,0.693,,4371.0,0.33,,134.846,Gas giant,Gas giant
DMPP-1 b,DMPP-1,1,4,18.57,0.1462,5.29,24.27,0.901,0.083,6196.0,1.21,,62.5388,Neptune-like,Neptune-like
DMPP-1 c,DMPP-1,1,4,6.584,0.0733,3.06,9.6,1.84,0.057,6196.0,1.21,,62.5388,Neptune-like,Neptune-like
DMPP-1 d,DMPP-1,1,4,2.882,0.0422,1.65,3.35,4.1,0.07,6196.0,1.21,,62.5388,Super-Earth,Super-Earth
DMPP-1 e,DMPP-1,1,4,5.516,0.0651,1.86,4.13,3.53,0.07,6196.0,1.21,,62.5388,Super-Earth,Super-Earth
DMPP-2 b,DMPP-2,1,1,5.2072,0.0664,14.3,138.89171,0.261,0.078,6500.0,1.44,,137.94,Gas giant,Hot Jupiter
DMPP-3 A b,DMPP-3 A,2,1,6.6732,0.0662,1.41,2.58,5.06,0.14,5138.0,0.87,0.18,45.23,Super-Earth,Super-Earth
DP Leo b,DP Leo,2,1,10220.0,8.19,12.7,1995.88832,5.35,0.39,13500.0,0.69,,305.684,Gas giant,Gas giant
DS Tuc A b,DS Tuc A,2,1,8.138268,,5.7,413.179,,0.0,5428.0,1.01,0.0,44.0622,Gas giant,Hot Jupiter
EPIC 201170410.02,EPIC 201170410,1,1,6.7987,0.0349,1.047,1.15,5.51,0.0,3648.0,0.29,-0.048,134.0,Super-Earth,Super-Earth
EPIC 201238110 b,EPIC 201238110,1,1,28.1656,,1.87,4.16,3.5,,3587.0,0.41,,159.259,Super-Earth,Super-Earth
EPIC 201427007 b,EPIC 201427007,1,1,0.72091,,1.5,2.86,4.66,,5633.0,0.93,-0.053,706.391,Super-Earth,Super-Earth
EPIC 201497682 b,EPIC 201497682,1,1,2.13174,,0.692,0.26,4.31,,4991.0,0.78,-0.089,253.026,Terrestrial,Terrestrial
EPIC 201595106 b,EPIC 201595106,1,1,0.877214,,1.3,2.24,5.6,,5820.0,1.02,-0.01,232.1,Super-Earth,Super-Earth
EPIC 201615463 c,K2-166,1,2,3.80464,,1.22,1.98,5.99,,5942.5,1.07,-0.051,476.882,Super-Earth,Super-Earth
EPIC 201754305 d,K2-16,1,3,2.71578,,1.03,1.08,5.43,,4761.0,0.67,-0.33,334.967,Super-Earth,Super-Earth
EPIC 201757695.02,EPIC 201757695,1,1,2.0478,0.0296,0.908,0.688,5.05,0.0,4520.0,0.73,-0.003,577.6,Terrestrial,Terrestrial
EPIC 201833600 c,K2-50,1,2,3.96151,,1.0,0.972,5.34,,4292.67,0.61,-0.113,257.443,Terrestrial,Terrestrial
EPIC 201841433 b,EPIC 201841433,1,1,4.1698,0.035,1.04,1.12,5.47,,5053.0,0.8,0.0,436.488,Super-Earth,Super-Earth
EPIC 205950854 c,K2-168,1,2,8.050722,,1.31,2.27,5.55,,5502.7,0.88,-0.13,243.935,Super-Earth,Super-Earth
EPIC 206024342 b,EPIC 206024342,1,3,4.50756,,1.7,3.53,3.95,,5724.0,0.93,-0.22,369.888,Super-Earth,Super-Earth
EPIC 206024342 c,EPIC 206024342,1,3,0.911724,,1.4,2.54,5.09,,5724.0,0.93,-0.22,369.888,Super-Earth,Super-Earth
EPIC 206024342 d,EPIC 206024342,1,3,14.647531,,2.6,7.27,2.27,,5724.0,0.93,-0.22,369.888,Neptune-like,Neptune-like
EPIC 206032309 b,EPIC 206032309,1,1,2.87814,,1.01,1.01,5.39,,3489.0,0.22,,161.365,Super-Earth,Super-Earth
EPIC 206042996 b,EPIC 206042996,1,2,5.29711,,1.62,3.26,4.21,,4114.0,0.56,0.006,451.769,Super-Earth,Super-Earth
EPIC 206042996 c,EPIC 206042996,1,2,0.354884,,1.2,1.87,5.95,,4114.0,0.56,0.006,451.769,Super-Earth,Super-Earth
EPIC 206215704 b,EPIC 206215704,1,1,2.25372,,0.9,0.666,5.02,,3467.0,0.41,,109.888,Terrestrial,Terrestrial
EPIC 206317286 b,EPIC 206317286,1,1,1.58252,,0.96,0.84,5.22,,4864.0,0.71,,314.35,Terrestrial,Terrestrial
EPIC 211822797 b,EPIC 211822797,1,1,21.1701963,0.1195,1.92,4.35,3.38,0.06,4057.0,0.62,0.2,186.197,Super-Earth,Super-Earth
EPIC 211945201 b,EPIC 211945201,1,1,19.49221,0.1493,5.76,27.0,0.65,0.0,6069.0,1.17,0.1,181.69,Neptune-like,Neptune-like
EPIC 212297394 b,EPIC 212297394,1,2,2.289363,,1.48,2.79,4.73,,5171.0,0.83,-0.03,418.395,Super-Earth,Super-Earth
EPIC 212297394 c,EPIC 212297394,1,2,5.213965,,2.27,5.77,2.71,,5171.0,0.83,-0.03,418.395,Super-Earth,Super-Earth
EPIC 212424622 b,EPIC 212424622,1,1,18.0983,,2.17,5.35,2.88,,5782.33,1.11,,611.804,Super-Earth,Super-Earth
EPIC 212499991 b,EPIC 212499991,1,1,34.885,,1.6,3.19,4.28,,4982.79,0.91,,283.29,Super-Earth,Super-Earth
EPIC 212587672 b,EPIC 212587672,1,2,15.28078,,1.26,2.13,5.85,,6004.0,0.99,-0.18,320.07,Super-Earth,Super-Earth
EPIC 212587672 c,EPIC 212587672,1,2,23.228555,,2.32,5.99,2.64,,6004.0,0.99,-0.18,320.07,Super-Earth,Super-Earth
EPIC 212624936 b,EPIC 212624936,1,2,0.578657,,1.2,1.87,5.95,,5765.0,1.0,-0.39,561.929,Super-Earth,Super-Earth
EPIC 212624936 c,EPIC 212624936,1,2,11.811437,,2.3,5.9,2.66,,5765.0,1.0,-0.39,561.929,Super-Earth,Super-Earth
EPIC 212737443 b,EPIC 212737443,1,2,13.603,0.098,2.586,7.2,2.29,0.2,4684.0,0.69,-0.137,336.25,Neptune-like,Neptune-like
EPIC 212737443 c,EPIC 212737443,1,2,65.55,0.28,2.69,7.7,2.17,0.2,4684.0,0.69,-0.137,336.25,Neptune-like,Neptune-like
EPIC 220492298 b,EPIC 220492298,1,1,0.762406,,0.99,0.937,5.31,,5620.0,0.95,0.28,624.512,Terrestrial,Terrestrial
EPIC 220554210 c,K2-282,1,2,0.70531,,1.48,2.79,4.73,,5523.0,0.94,0.15,496.289,Super-Earth,Super-Earth
EPIC 220674823 b,EPIC 220674823,1,2,0.571331,0.0134,1.82,7.72,8.5,0.0,5617.0,0.97,0.13,244.59,Neptune-like,Hot Neptune
EPIC 220674823 c,EPIC 220674823,1,2,13.339079,0.1091,2.73,5.8,2.0,0.18,5617.0,0.97,0.13,244.59,Super-Earth,Super-Earth
EPIC 228836835 b,EPIC 228836835,1,1,0.728113,,1.1,1.37,5.66,,3782.0,0.42,-0.18,150.124,Super-Earth,Super-Earth
EPIC 246851721 b,EPIC 246851721,2,1,6.180235,0.07229,11.781,953.49,3.1,,6202.0,1.32,0.141,372.632,Gas giant,Hot Jupiter
EPIC 248847494 b,EPIC 248847494,1,1,3650.0,4.5,12.442,4131.79,,0.0,4898.0,0.9,-0.23,551.886,Gas giant,Gas giant
EPIC 249893012 b,EPIC 249893012,1,3,3.5951,0.047,1.95,8.75,6.39,0.06,5430.0,1.05,0.2,321.296,Neptune-like,Hot Neptune
EPIC 249893012 c,EPIC 249893012,1,3,15.624,0.13,3.67,14.67,1.62,0.07,5430.0,1.05,0.2,321.296,Neptune-like,Neptune-like
EPIC 249893012 d,EPIC 249893012,1,3,35.747,0.22,3.94,10.18,0.91,0.15,5430.0,1.05,0.2,321.296,Neptune-like,Neptune-like
FU Tau b,FU Tau,1,1,,800.0,12.2,5085.28,15.4,,2838.0,0.05,,133.4950466,Gas giant,Gas giant
G 264-012 b,G 264-012,1,2,2.30538,0.02279,1.39,2.5,5.12,,3326.0,0.3,0.1,16.009,Super-Earth,Super-Earth
G 264-012 c,G 264-012,1,2,8.0518,0.0525,1.76,3.75,3.78,,3326.0,0.3,0.1,16.009,Super-Earth,Super-Earth
G 9-40 b,G 9-40,1,1,5.746007,0.0385,2.025,4.76,3.15,0.0,3348.0,0.29,0.04,27.9276,Super-Earth,Super-Earth
GJ 1061 b,GJ 1061,1,3,3.204,0.021,1.1,1.37,5.66,0.31,2953.0,0.12,-0.08,3.67278,Super-Earth,Super-Earth
GJ 1061 c,GJ 1061,1,3,6.689,0.035,1.18,1.74,5.82,0.29,2953.0,0.12,-0.08,3.67278,Super-Earth,Super-Earth
GJ 1061 d,GJ 1061,1,3,13.031,0.054,1.16,1.64,5.77,0.53,2953.0,0.12,-0.08,3.67278,Super-Earth,Super-Earth
GJ 1132 b,GJ 1132,1,2,1.628931,0.0153,1.13,1.66,6.3,0.22,3270.0,0.18,-0.12,12.613,Super-Earth,Super-Earth
GJ 1132 c,GJ 1132,1,2,8.929,0.0476,1.43,2.64,4.96,0.27,3270.0,0.18,-0.12,12.613,Super-Earth,Super-Earth
GJ 1148 b,GJ 1148,1,2,41.38,0.166,11.9,96.7,0.315,0.38,3287.0,0.34,0.16,11.0143,Gas giant,Gas giant
GJ 1148 c,GJ 1148,1,2,532.58,0.912,9.71,68.06,0.409,0.342,3287.0,0.34,0.16,11.0143,Gas giant,Gas giant
GJ 1151 b,GJ 1151,1,1,2.018,0.01735,1.39,2.5,5.12,0.0,3114.0,0.17,,8.03625,Super-Earth,Super-Earth
GJ 1214 b,GJ 1214,1,1,1.58040433,0.0149,2.742,8.17,2.2,0.063,3250.0,0.18,0.29,14.6427,Neptune-like,Hot Neptune
GJ 1252 b,GJ 1252,1,1,0.5182349,0.00916,1.193,2.09,6.76,0.0,3458.0,0.38,0.1,20.373,Super-Earth,Super-Earth
GJ 1265 b,GJ 1265,1,1,3.6511,0.026,2.63,7.4,2.24,0.04,3236.0,0.18,-0.04,10.2525,Neptune-like,Hot Neptune
GJ 143 b,GJ 143,1,2,35.61253,0.1915,2.61,22.7,7.0,0.188,4640.0,0.73,0.003,16.32,Neptune-like,Neptune-like
GJ 15 A b,GJ 15 A,2,2,11.4407,0.072,1.55,3.03,4.47,0.094,3607.0,0.38,-0.34,3.56228,Super-Earth,Super-Earth
