pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,st_teff,st_mass,st_met,sy_dist,exo_class,exo_class_ext
Kepler-797 b,Kepler-797,1,1,27.07237711,0.181,2.17,5.35,2.88,0.0,5680.0,0.96,-0.02,1315.26,Super-Earth,Super-Earth
Kepler-798 b,Kepler-798,1,1,13.71933369,0.1174,2.39,6.3,2.54,0.0,6224.0,1.19,0.03,972.274,Neptune-like,Neptune-like
Kepler-799 b,Kepler-799,1,2,133.4605235,0.5167,6.88,37.9,0.64,0.0,5681.0,0.95,-0.07,1509.084,Neptune-like,Neptune-like
Kepler-799 c,Kepler-799,1,2,15.19419956,0.1214,2.781,8.15,2.08,0.0,5588.0,1.03,0.14,1509.084,Neptune-like,Neptune-like
Kepler-8 b,Kepler-8,1,1,3.5224991,0.0474,15.872,187.5197,0.27,0.0,6213.0,1.21,-0.055,1021.87,Gas giant,Hot Jupiter
Kepler-80 b,Kepler-80,1,6,7.05246,0.0648,2.67,6.93,1.38,0.0,4540.0,0.73,0.04,369.451,Neptune-like,Neptune-like
Kepler-80 c,Kepler-80,1,6,9.52355,0.0792,2.74,6.74,1.22,0.0,4540.0,0.73,0.04,369.451,Neptune-like,Neptune-like
Kepler-80 d,Kepler-80,1,6,3.07222,0.0372,1.53,6.75,7.04,0.0,4540.0,0.73,0.04,369.451,Neptune-like,Hot Neptune
Kepler-80 e,Kepler-80,1,6,4.64489,0.0491,1.6,4.13,3.75,0.0,4540.0,0.73,0.04,369.451,Super-Earth,Super-Earth
Kepler-80 f,Kepler-80,1,6,0.9867873,0.0175,1.21,1.92,5.96,0.0,4540.0,0.73,0.04,369.451,Super-Earth,Super-Earth
Kepler-80 g,Kepler-80,1,6,14.64558,,1.13,1.51,5.75,,4540.0,0.83,0.04,369.451,Super-Earth,Super-Earth
Kepler-800 b,Kepler-800,1,1,14.13176026,0.1106,2.85,8.5,2.02,0.0,5315.0,0.85,-0.09,1019.26,Neptune-like,Neptune-like
Kepler-801 b,Kepler-801,1,1,11.41928253,0.0795,2.0,4.66,3.2,0.0,4435.0,0.67,-0.17,440.426,Super-Earth,Super-Earth
Kepler-802 b,Kepler-802,1,1,40.0587473,0.2265,3.54,12.3,1.52,0.0,5507.0,0.93,0.06,780.585,Neptune-like,Neptune-like
Kepler-803 b,Kepler-803,1,1,50.28638192,0.2678,3.79,13.8,1.39,0.0,5919.0,1.05,0.02,639.771,Neptune-like,Neptune-like
Kepler-804 b,Kepler-804,1,2,14.37457351,0.1137,1.94,4.42,3.33,0.0,5817.0,1.01,0.0,649.65,Super-Earth,Super-Earth
Kepler-804 c,Kepler-804,1,2,9.65185017,0.0872,1.14,1.55,5.75,0.0,5817.0,1.01,0.0,649.65,Super-Earth,Super-Earth
Kepler-805 b,Kepler-805,1,1,30.8638931,0.1978,2.89,8.7,1.98,0.0,6112.0,1.19,-0.06,638.49,Neptune-like,Neptune-like
